id,title,rent,deposit,total,min_size,max_size,rooms,building_age
1,۶۳متر فول امکانات شریعتی. سهروردی. ملک,8500000,600000000,883333333,60,80,یک,15
2,۶۵ متری مطهری فول امکانات کلید نخورده,0,1300000000,1300000000,60,80,یک,15
3,۶۵متر۱خواب فول امکانات ۱۵مترپاسیومسقف.شریعتی.ملک,9000000,600000000,900000000,60,80,یک,15
4,73 متر 1 خواب خوش نقشه سهروردی,0,1300000000,1300000000,60,80,یک,15
5,۷۳متر آپارتمان مبله شیک ومجلل,18000000,200000000,800000000,60,80,یک,15
6,بهار شیراز خداپرست ۶۲متر,100000,870000000,873333333,60,80,یک,15
7,ترکمنستان خارج طرح 70 متر نوساز کلید نخورده,0,1300000000,1300000000,60,80,یک,15
8,۶۰متر،یک خواب،مطهری،ترکمنستان،وزوایی,20000000,500000000,1166666666,60,80,یک,15
9,۶۵متر ده ساله فول امکانات بازسازی سیدخندان-دبستان,0,900000000,900000000,60,80,یک,15
10,شریعتی ملک ۶۸متر,17000000,200000000,766666666,60,80,یک,15
11,۶۲ متر ۱ خواب بهار شیراز لواسانی (شیک و خوش نقشه),5000000,800000000,966666666,60,80,یک,15
12,۶۰متر سهروردی شمالی/فول امکانات,18000000,300000000,900000000,60,80,یک,15
13,۶۳ متر یک خواب ( سهروردی جنوبی ),23000000,200000000,966666666,60,80,یک,15
14,۶۴متر با آسانسور ۱۰ساله شریعتی. پلیس. کلیم کاشانی,1000000,700000000,733333333,60,80,یک,15
15,۶۵متر، نوساز، یک خواب،سهروردی،  خارج از طرح,0,1350000000,1350000000,60,80,یک,15
16,سهروردی جنوبی ۷۳ متر فول,100000,1250000000,1253333333,60,80,یک,15
17,بهار شیراز ، ۶۰ متر ، تک واحدی,0,1100000000,1100000000,60,80,یک,15
18,۶۵ متر/دوخوابه/نوساز/سهروردی,0,1300000000,1300000000,60,80,یک,15
19,۷۰متر۱خواب ترکمنستان وزوایی,0,0,0,60,80,یک,15
20,۶۵متر آپارتمان مسکونی سهروردی جنوبی ،بهار شیراز,0,1100000000,1100000000,60,80,یک,15
21,۶۸ متری فول تکواحدی (سهروردی بهار شیراز)بی مشابه,0,870000000,870000000,60,80,یک,15
22,۶۰ متر فول،کلیدنخورده,0,1300000000,1300000000,60,80,یک,15
23,۷۰ متر نوساز فول امکانات سیدخندان-دبستان,23000000,300000000,1066666666,60,80,یک,15
24,همخونه,3500000000,0,116666666666,60,80,یک,15
